Type,Vehicle_Type,Vehicle_Segment,Country,Motor_Energy,Year,Units
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Natural gas,2022,861.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Natural gas,2023,694.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Natural gas,2024,621.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Other,2017,968.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Other,2018,943.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Other,2019,900.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Other,2020,888.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Other,2021,920.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Other,2022,866.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Other,2023,784.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Other,2024,681.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petrol (excluding hybrids),2017,19160.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petrol (excluding hybrids),2018,20749.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petrol (excluding hybrids),2019,21829.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petrol (excluding hybrids),2020,22344.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petrol (excluding hybrids),2021,23413.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petrol (excluding hybrids),2022,24070.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petrol (excluding hybrids),2023,25330.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petrol (excluding hybrids),2024,26630.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petroleum products,2017,19160.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petroleum products,2018,20749.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petroleum products,2019,21829.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petroleum products,2020,22355.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petroleum products,2021,23449.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petroleum products,2022,24120.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petroleum products,2023,25385.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Petroleum products,2024,26760.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Total,2017,403984.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Total,2018,422745.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Total,2019,440582.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Total,2020,458253.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Total,2021,493387.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Total,2022,498325.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Total,2023,507996.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Total,2024,517252.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Alternative energy,2017,15909.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Alternative energy,2018,17809.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Alternative energy,2019,20101.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Alternative energy,2020,21966.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Alternative energy,2021,23479.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Alternative energy,2022,25122.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Alternative energy,2023,27829.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Alternative energy,2024,29431.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Biodiesel,2017,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Biodiesel,2018,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Biodiesel,2019,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Biodiesel,2020,1.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Biodiesel,2021,2.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Biodiesel,2022,2.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Biodiesel,2023,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Biodiesel,2024,6.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Bioethanol,2017,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Bioethanol,2018,3.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Bioethanol,2019,2.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Bioethanol,2020,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Bioethanol,2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Bioethanol,2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Bioethanol,2023,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Bioethanol,2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Compressed natural gas (CNG),2017,1785.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Compressed natural gas (CNG),2018,2667.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel,2017,689229.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel,2018,709857.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel,2019,732085.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel,2020,757595.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel,2021,784922.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel,2022,788665.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel,2023,799091.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel,2024,805938.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel (excluding hybrids),2017,689220.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel (excluding hybrids),2018,709842.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel (excluding hybrids),2019,731965.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel (excluding hybrids),2020,757279.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel (excluding hybrids),2021,784002.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel (excluding hybrids),2022,786982.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel (excluding hybrids),2023,796548.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Diesel (excluding hybrids),2024,802490.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Electricity,2017,777.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Electricity,2018,1020.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Electricity,2019,1374.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Electricity,2020,1778.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Electricity,2021,2439.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Electricity,2022,4133.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Electricity,2023,6990.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Electricity,2024,8757.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid diesel-electric,2017,9.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid diesel-electric,2018,15.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid diesel-electric,2019,120.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid diesel-electric,2020,316.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid diesel-electric,2021,920.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid diesel-electric,2022,1683.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid diesel-electric,2023,2543.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid diesel-electric,2024,3448.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid electric-petrol,2017,36.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid electric-petrol,2018,45.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid electric-petrol,2019,94.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid electric-petrol,2020,251.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid electric-petrol,2021,543.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid electric-petrol,2022,865.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid electric-petrol,2023,1153.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Hybrid electric-petrol,2024,1639.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Liquefied natural gas (LNG),2017,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Liquefied natural gas (LNG),2018,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Liquefied petroleum gases (LPG),2017,10391.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Liquefied petroleum gases (LPG),2018,11166.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Liquefied petroleum gases (LPG),2019,11853.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Liquefied petroleum gases (LPG),2020,12311.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Liquefied petroleum gases (LPG),2021,12473.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Belgium,Liquefied petroleum gases (LPG),2022,12486.0
